timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1711612260000,2024-03-28T07:51:00Z,288-1-1-116,,device_not_recording
1711612320000,2024-03-28T07:52:00Z,288-1-1-116,,device_not_recording
1711612380000,2024-03-28T07:53:00Z,288-1-1-116,,device_not_recording
1711612440000,2024-03-28T07:54:00Z,288-1-1-116,,device_not_recording
1711612500000,2024-03-28T07:55:00Z,288-1-1-116,,device_not_recording
1711612560000,2024-03-28T07:56:00Z,288-1-1-116,,device_not_recording
1711612620000,2024-03-28T07:57:00Z,288-1-1-116,,device_not_recording
1711612680000,2024-03-28T07:58:00Z,288-1-1-116,,device_not_recording
1711612740000,2024-03-28T07:59:00Z,288-1-1-116,,device_not_recording
1711612800000,2024-03-28T08:00:00Z,288-1-1-116,,device_not_recording
1711612860000,2024-03-28T08:01:00Z,288-1-1-116,,device_not_recording
1711612920000,2024-03-28T08:02:00Z,288-1-1-116,,device_not_recording
1711612980000,2024-03-28T08:03:00Z,288-1-1-116,,device_not_recording
1711613040000,2024-03-28T08:04:00Z,288-1-1-116,,device_not_recording
1711613100000,2024-03-28T08:05:00Z,288-1-1-116,,device_not_recording
1711613160000,2024-03-28T08:06:00Z,288-1-1-116,,device_not_recording
1711613220000,2024-03-28T08:07:00Z,288-1-1-116,,device_not_recording
1711613280000,2024-03-28T08:08:00Z,288-1-1-116,,device_not_recording
1711613340000,2024-03-28T08:09:00Z,288-1-1-116,,device_not_recording
1711613400000,2024-03-28T08:10:00Z,288-1-1-116,,device_not_recording
1711613460000,2024-03-28T08:11:00Z,288-1-1-116,,device_not_recording
1711613520000,2024-03-28T08:12:00Z,288-1-1-116,,device_not_recording
1711613580000,2024-03-28T08:13:00Z,288-1-1-116,,device_not_recording
1711613640000,2024-03-28T08:14:00Z,288-1-1-116,,device_not_recording
1711613700000,2024-03-28T08:15:00Z,288-1-1-116,,device_not_recording
1711613760000,2024-03-28T08:16:00Z,288-1-1-116,,device_not_recording
