timestamp_unix,timestamp_iso,participant_full_id,sleep_detection_stage,missing_value_reason
1703124360000,2023-12-21T02:06:00Z,288-1-1-009,,device_not_worn_correctly
1703124420000,2023-12-21T02:07:00Z,288-1-1-009,,device_not_worn_correctly
1703124480000,2023-12-21T02:08:00Z,288-1-1-009,,device_not_worn_correctly
1703124540000,2023-12-21T02:09:00Z,288-1-1-009,,device_not_worn_correctly
1703124600000,2023-12-21T02:10:00Z,288-1-1-009,,device_not_worn_correctly
1703124660000,2023-12-21T02:11:00Z,288-1-1-009,,device_not_worn_correctly
1703124720000,2023-12-21T02:12:00Z,288-1-1-009,,device_not_worn_correctly
1703124780000,2023-12-21T02:13:00Z,288-1-1-009,,device_not_worn_correctly
1703124840000,2023-12-21T02:14:00Z,288-1-1-009,,device_not_worn_correctly
1703124900000,2023-12-21T02:15:00Z,288-1-1-009,,device_not_worn_correctly
1703124960000,2023-12-21T02:16:00Z,288-1-1-009,,device_not_worn_correctly
1703125020000,2023-12-21T02:17:00Z,288-1-1-009,,device_not_worn_correctly
1703125080000,2023-12-21T02:18:00Z,288-1-1-009,,device_not_worn_correctly
1703125140000,2023-12-21T02:19:00Z,288-1-1-009,,device_not_worn_correctly
1703125200000,2023-12-21T02:20:00Z,288-1-1-009,,device_not_worn_correctly
1703125260000,2023-12-21T02:21:00Z,288-1-1-009,,device_not_worn_correctly
1703125320000,2023-12-21T02:22:00Z,288-1-1-009,,device_not_worn_correctly
1703125380000,2023-12-21T02:23:00Z,288-1-1-009,,device_not_worn_correctly
1703125440000,2023-12-21T02:24:00Z,288-1-1-009,,device_not_worn_correctly
1703125500000,2023-12-21T02:25:00Z,288-1-1-009,,device_not_worn_correctly
1703125560000,2023-12-21T02:26:00Z,288-1-1-009,,device_not_worn_correctly
1703125620000,2023-12-21T02:27:00Z,288-1-1-009,,device_not_worn_correctly
1703125680000,2023-12-21T02:28:00Z,288-1-1-009,,device_not_worn_correctly
1703125740000,2023-12-21T02:29:00Z,288-1-1-009,,device_not_worn_correctly
1703125800000,2023-12-21T02:30:00Z,288-1-1-009,,device_not_worn_correctly
