timestamp_unix,timestamp_iso,participant_full_id,pulse_rate_bpm,missing_value_reason
1710122820000,2024-03-11T02:07:00Z,288-1-1-114,92,
1710122880000,2024-03-11T02:08:00Z,288-1-1-114,90,
1710122940000,2024-03-11T02:09:00Z,288-1-1-114,91,
1710123000000,2024-03-11T02:10:00Z,288-1-1-114,93,
1710123060000,2024-03-11T02:11:00Z,288-1-1-114,89,
1710123120000,2024-03-11T02:12:00Z,288-1-1-114,100,
1710123180000,2024-03-11T02:13:00Z,288-1-1-114,95,
1710123240000,2024-03-11T02:14:00Z,288-1-1-114,96,
1710123300000,2024-03-11T02:15:00Z,288-1-1-114,105,
1710123360000,2024-03-11T02:16:00Z,288-1-1-114,103,
1710123420000,2024-03-11T02:17:00Z,288-1-1-114,89,
1710123480000,2024-03-11T02:18:00Z,288-1-1-114,90,
1710123540000,2024-03-11T02:19:00Z,288-1-1-114,94,
1710123600000,2024-03-11T02:20:00Z,288-1-1-114,91,
1710123660000,2024-03-11T02:21:00Z,288-1-1-114,92,
1710123720000,2024-03-11T02:22:00Z,288-1-1-114,92,
1710123780000,2024-03-11T02:23:00Z,288-1-1-114,90,
1710123840000,2024-03-11T02:24:00Z,288-1-1-114,87,
1710123900000,2024-03-11T02:25:00Z,288-1-1-114,88,
1710123960000,2024-03-11T02:26:00Z,288-1-1-114,89,
1710124020000,2024-03-11T02:27:00Z,288-1-1-114,89,
1710124080000,2024-03-11T02:28:00Z,288-1-1-114,91,
1710124140000,2024-03-11T02:29:00Z,288-1-1-114,90,
1710124200000,2024-03-11T02:30:00Z,288-1-1-114,86,
1710124260000,2024-03-11T02:31:00Z,288-1-1-114,88,
1710124320000,2024-03-11T02:32:00Z,288-1-1-114,88,
1710124380000,2024-03-11T02:33:00Z,288-1-1-114,87,
1710124440000,2024-03-11T02:34:00Z,288-1-1-114,91,
1710124500000,2024-03-11T02:35:00Z,288-1-1-114,85,
1710124560000,2024-03-11T02:36:00Z,288-1-1-114,84,
1710124620000,2024-03-11T02:37:00Z,288-1-1-114,90,
1710124680000,2024-03-11T02:38:00Z,288-1-1-114,94,
1710124740000,2024-03-11T02:39:00Z,288-1-1-114,93,
1710124800000,2024-03-11T02:40:00Z,288-1-1-114,88,
1710124860000,2024-03-11T02:41:00Z,288-1-1-114,90,
1710124920000,2024-03-11T02:42:00Z,288-1-1-114,87,
1710124980000,2024-03-11T02:43:00Z,288-1-1-114,87,
1710125040000,2024-03-11T02:44:00Z,288-1-1-114,90,
1710125100000,2024-03-11T02:45:00Z,288-1-1-114,89,
1710125160000,2024-03-11T02:46:00Z,288-1-1-114,88,
1710125220000,2024-03-11T02:47:00Z,288-1-1-114,90,
1710125280000,2024-03-11T02:48:00Z,288-1-1-114,87,
1710125340000,2024-03-11T02:49:00Z,288-1-1-114,88,
1710125400000,2024-03-11T02:50:00Z,288-1-1-114,90,
1710125460000,2024-03-11T02:51:00Z,288-1-1-114,97,
1710125520000,2024-03-11T02:52:00Z,288-1-1-114,96,
1710125580000,2024-03-11T02:53:00Z,288-1-1-114,100,
1710125640000,2024-03-11T02:54:00Z,288-1-1-114,96,
1710125700000,2024-03-11T02:55:00Z,288-1-1-114,101,
1710125760000,2024-03-11T02:56:00Z,288-1-1-114,91,
1710125820000,2024-03-11T02:57:00Z,288-1-1-114,90,
1710125880000,2024-03-11T02:58:00Z,288-1-1-114,89,
1710125940000,2024-03-11T02:59:00Z,288-1-1-114,91,
1710126000000,2024-03-11T03:00:00Z,288-1-1-114,97,
1710126060000,2024-03-11T03:01:00Z,288-1-1-114,96,
1710126120000,2024-03-11T03:02:00Z,288-1-1-114,96,
1710126180000,2024-03-11T03:03:00Z,288-1-1-114,100,
1710126240000,2024-03-11T03:04:00Z,288-1-1-114,91,
1710126300000,2024-03-11T03:05:00Z,288-1-1-114,93,
1710126360000,2024-03-11T03:06:00Z,288-1-1-114,96,
1710126420000,2024-03-11T03:07:00Z,288-1-1-114,92,
1710126480000,2024-03-11T03:08:00Z,288-1-1-114,87,
1710126540000,2024-03-11T03:09:00Z,288-1-1-114,97,
1710126600000,2024-03-11T03:10:00Z,288-1-1-114,92,
1710126660000,2024-03-11T03:11:00Z,288-1-1-114,92,
1710126720000,2024-03-11T03:12:00Z,288-1-1-114,89,
1710126780000,2024-03-11T03:13:00Z,288-1-1-114,92,
1710126840000,2024-03-11T03:14:00Z,288-1-1-114,88,
1710126900000,2024-03-11T03:15:00Z,288-1-1-114,91,
1710126960000,2024-03-11T03:16:00Z,288-1-1-114,92,
1710127020000,2024-03-11T03:17:00Z,288-1-1-114,91,
1710127080000,2024-03-11T03:18:00Z,288-1-1-114,89,
1710127140000,2024-03-11T03:19:00Z,288-1-1-114,91,
1710127200000,2024-03-11T03:20:00Z,288-1-1-114,85,
1710127260000,2024-03-11T03:21:00Z,288-1-1-114,88,
1710127320000,2024-03-11T03:22:00Z,288-1-1-114,106,
1710127380000,2024-03-11T03:23:00Z,288-1-1-114,104,
