timestamp_unix,timestamp_iso,participant_full_id,activity_intensity,missing_value_reason
1712108880000,2024-04-03T01:48:00Z,288-1-1-116,sedentary,
1712108940000,2024-04-03T01:49:00Z,288-1-1-116,LPA,
1712109000000,2024-04-03T01:50:00Z,288-1-1-116,sedentary,
1712109060000,2024-04-03T01:51:00Z,288-1-1-116,sedentary,
1712109120000,2024-04-03T01:52:00Z,288-1-1-116,sedentary,
1712109180000,2024-04-03T01:53:00Z,288-1-1-116,sedentary,
1712109240000,2024-04-03T01:54:00Z,288-1-1-116,sedentary,
1712109300000,2024-04-03T01:55:00Z,288-1-1-116,sedentary,
1712109360000,2024-04-03T01:56:00Z,288-1-1-116,sedentary,
1712109420000,2024-04-03T01:57:00Z,288-1-1-116,sedentary,
1712109480000,2024-04-03T01:58:00Z,288-1-1-116,sedentary,
1712109540000,2024-04-03T01:59:00Z,288-1-1-116,sedentary,
1712109600000,2024-04-03T02:00:00Z,288-1-1-116,sedentary,
1712109660000,2024-04-03T02:01:00Z,288-1-1-116,sedentary,
1712109720000,2024-04-03T02:02:00Z,288-1-1-116,sedentary,
1712109780000,2024-04-03T02:03:00Z,288-1-1-116,sedentary,
1712109840000,2024-04-03T02:04:00Z,288-1-1-116,sedentary,
1712109900000,2024-04-03T02:05:00Z,288-1-1-116,sedentary,
1712109960000,2024-04-03T02:06:00Z,288-1-1-116,sedentary,
1712110020000,2024-04-03T02:07:00Z,288-1-1-116,sedentary,
1712110080000,2024-04-03T02:08:00Z,288-1-1-116,sedentary,
1712110140000,2024-04-03T02:09:00Z,288-1-1-116,sedentary,
1712110200000,2024-04-03T02:10:00Z,288-1-1-116,sedentary,
1712110260000,2024-04-03T02:11:00Z,288-1-1-116,sedentary,
1712110320000,2024-04-03T02:12:00Z,288-1-1-116,sedentary,
1712110380000,2024-04-03T02:13:00Z,288-1-1-116,sedentary,
1712110440000,2024-04-03T02:14:00Z,288-1-1-116,sedentary,
1712110500000,2024-04-03T02:15:00Z,288-1-1-116,sedentary,
1712110560000,2024-04-03T02:16:00Z,288-1-1-116,sedentary,
1712110620000,2024-04-03T02:17:00Z,288-1-1-116,sedentary,
1712110680000,2024-04-03T02:18:00Z,288-1-1-116,sedentary,
1712110740000,2024-04-03T02:19:00Z,288-1-1-116,sedentary,
1712110800000,2024-04-03T02:20:00Z,288-1-1-116,sedentary,
1712110860000,2024-04-03T02:21:00Z,288-1-1-116,sedentary,
1712110920000,2024-04-03T02:22:00Z,288-1-1-116,sedentary,
1712110980000,2024-04-03T02:23:00Z,288-1-1-116,sedentary,
1712111040000,2024-04-03T02:24:00Z,288-1-1-116,sedentary,
1712111100000,2024-04-03T02:25:00Z,288-1-1-116,sedentary,
1712111160000,2024-04-03T02:26:00Z,288-1-1-116,sedentary,
1712111220000,2024-04-03T02:27:00Z,288-1-1-116,sedentary,
1712111280000,2024-04-03T02:28:00Z,288-1-1-116,sedentary,
1712111340000,2024-04-03T02:29:00Z,288-1-1-116,sedentary,
1712111400000,2024-04-03T02:30:00Z,288-1-1-116,sedentary,
1712111460000,2024-04-03T02:31:00Z,288-1-1-116,sedentary,
1712111520000,2024-04-03T02:32:00Z,288-1-1-116,sedentary,
1712111580000,2024-04-03T02:33:00Z,288-1-1-116,sedentary,
1712111640000,2024-04-03T02:34:00Z,288-1-1-116,sedentary,
1712111700000,2024-04-03T02:35:00Z,288-1-1-116,sedentary,
1712111760000,2024-04-03T02:36:00Z,288-1-1-116,sedentary,
1712111820000,2024-04-03T02:37:00Z,288-1-1-116,sedentary,
1712111880000,2024-04-03T02:38:00Z,288-1-1-116,sedentary,
1712111940000,2024-04-03T02:39:00Z,288-1-1-116,sedentary,
1712112000000,2024-04-03T02:40:00Z,288-1-1-116,sedentary,
1712112060000,2024-04-03T02:41:00Z,288-1-1-116,sedentary,
1712112120000,2024-04-03T02:42:00Z,288-1-1-116,sedentary,
1712112180000,2024-04-03T02:43:00Z,288-1-1-116,sedentary,
1712112240000,2024-04-03T02:44:00Z,288-1-1-116,sedentary,
1712112300000,2024-04-03T02:45:00Z,288-1-1-116,sedentary,
1712112360000,2024-04-03T02:46:00Z,288-1-1-116,sedentary,
1712112420000,2024-04-03T02:47:00Z,288-1-1-116,sedentary,
1712112480000,2024-04-03T02:48:00Z,288-1-1-116,sedentary,
1712112540000,2024-04-03T02:49:00Z,288-1-1-116,sedentary,
1712112600000,2024-04-03T02:50:00Z,288-1-1-116,sedentary,
1712112660000,2024-04-03T02:51:00Z,288-1-1-116,sedentary,
1712112720000,2024-04-03T02:52:00Z,288-1-1-116,sedentary,
1712112780000,2024-04-03T02:53:00Z,288-1-1-116,sedentary,
1712112840000,2024-04-03T02:54:00Z,288-1-1-116,sedentary,
1712112900000,2024-04-03T02:55:00Z,288-1-1-116,sedentary,
1712112960000,2024-04-03T02:56:00Z,288-1-1-116,sedentary,
1712113020000,2024-04-03T02:57:00Z,288-1-1-116,sedentary,
1712113080000,2024-04-03T02:58:00Z,288-1-1-116,sedentary,
1712113140000,2024-04-03T02:59:00Z,288-1-1-116,sedentary,
1712113200000,2024-04-03T03:00:00Z,288-1-1-116,sedentary,
1712113260000,2024-04-03T03:01:00Z,288-1-1-116,sedentary,
1712113320000,2024-04-03T03:02:00Z,288-1-1-116,sedentary,
1712113380000,2024-04-03T03:03:00Z,288-1-1-116,sedentary,
1712113440000,2024-04-03T03:04:00Z,288-1-1-116,sedentary,
1712113500000,2024-04-03T03:05:00Z,288-1-1-116,sedentary,
1712113560000,2024-04-03T03:06:00Z,288-1-1-116,sedentary,
1712113620000,2024-04-03T03:07:00Z,288-1-1-116,sedentary,
1712113680000,2024-04-03T03:08:00Z,288-1-1-116,sedentary,
1712113740000,2024-04-03T03:09:00Z,288-1-1-116,sedentary,
1712113800000,2024-04-03T03:10:00Z,288-1-1-116,sedentary,
1712113860000,2024-04-03T03:11:00Z,288-1-1-116,sedentary,
1712113920000,2024-04-03T03:12:00Z,288-1-1-116,sedentary,
1712113980000,2024-04-03T03:13:00Z,288-1-1-116,sedentary,
1712114040000,2024-04-03T03:14:00Z,288-1-1-116,sedentary,
1712114100000,2024-04-03T03:15:00Z,288-1-1-116,sedentary,
1712114160000,2024-04-03T03:16:00Z,288-1-1-116,sedentary,
1712114220000,2024-04-03T03:17:00Z,288-1-1-116,sedentary,
1712114280000,2024-04-03T03:18:00Z,288-1-1-116,sedentary,
1712114340000,2024-04-03T03:19:00Z,288-1-1-116,sedentary,
1712114400000,2024-04-03T03:20:00Z,288-1-1-116,sedentary,
1712114460000,2024-04-03T03:21:00Z,288-1-1-116,sedentary,
1712114520000,2024-04-03T03:22:00Z,288-1-1-116,sedentary,
1712114580000,2024-04-03T03:23:00Z,288-1-1-116,sedentary,
1712114640000,2024-04-03T03:24:00Z,288-1-1-116,sedentary,
1712114700000,2024-04-03T03:25:00Z,288-1-1-116,sedentary,
1712114760000,2024-04-03T03:26:00Z,288-1-1-116,sedentary,
1712114820000,2024-04-03T03:27:00Z,288-1-1-116,sedentary,
1712114880000,2024-04-03T03:28:00Z,288-1-1-116,sedentary,
1712114940000,2024-04-03T03:29:00Z,288-1-1-116,sedentary,
1712115000000,2024-04-03T03:30:00Z,288-1-1-116,sedentary,
1712115060000,2024-04-03T03:31:00Z,288-1-1-116,sedentary,
1712115120000,2024-04-03T03:32:00Z,288-1-1-116,sedentary,
1712115180000,2024-04-03T03:33:00Z,288-1-1-116,sedentary,
1712115240000,2024-04-03T03:34:00Z,288-1-1-116,sedentary,
1712115300000,2024-04-03T03:35:00Z,288-1-1-116,sedentary,
1712115360000,2024-04-03T03:36:00Z,288-1-1-116,sedentary,
1712115420000,2024-04-03T03:37:00Z,288-1-1-116,sedentary,
1712115480000,2024-04-03T03:38:00Z,288-1-1-116,sedentary,
1712115540000,2024-04-03T03:39:00Z,288-1-1-116,sedentary,
1712115600000,2024-04-03T03:40:00Z,288-1-1-116,sedentary,
1712115660000,2024-04-03T03:41:00Z,288-1-1-116,sedentary,
1712115720000,2024-04-03T03:42:00Z,288-1-1-116,sedentary,
1712115780000,2024-04-03T03:43:00Z,288-1-1-116,sedentary,
1712115840000,2024-04-03T03:44:00Z,288-1-1-116,sedentary,
1712115900000,2024-04-03T03:45:00Z,288-1-1-116,sedentary,
1712115960000,2024-04-03T03:46:00Z,288-1-1-116,sedentary,
1712116020000,2024-04-03T03:47:00Z,288-1-1-116,LPA,
1712116080000,2024-04-03T03:48:00Z,288-1-1-116,MPA,
1712116140000,2024-04-03T03:49:00Z,288-1-1-116,sedentary,
1712116200000,2024-04-03T03:50:00Z,288-1-1-116,sedentary,
1712116260000,2024-04-03T03:51:00Z,288-1-1-116,sedentary,
1712116320000,2024-04-03T03:52:00Z,288-1-1-116,sedentary,
1712116380000,2024-04-03T03:53:00Z,288-1-1-116,sedentary,
1712116440000,2024-04-03T03:54:00Z,288-1-1-116,sedentary,
1712116500000,2024-04-03T03:55:00Z,288-1-1-116,sedentary,
1712116560000,2024-04-03T03:56:00Z,288-1-1-116,sedentary,
1712116620000,2024-04-03T03:57:00Z,288-1-1-116,sedentary,
1712116680000,2024-04-03T03:58:00Z,288-1-1-116,sedentary,
1712116740000,2024-04-03T03:59:00Z,288-1-1-116,sedentary,
1712116800000,2024-04-03T04:00:00Z,288-1-1-116,sedentary,
1712116860000,2024-04-03T04:01:00Z,288-1-1-116,sedentary,
1712116920000,2024-04-03T04:02:00Z,288-1-1-116,LPA,
1712116980000,2024-04-03T04:03:00Z,288-1-1-116,MPA,
1712117040000,2024-04-03T04:04:00Z,288-1-1-116,LPA,
1712117100000,2024-04-03T04:05:00Z,288-1-1-116,sedentary,
1712117160000,2024-04-03T04:06:00Z,288-1-1-116,sedentary,
1712117220000,2024-04-03T04:07:00Z,288-1-1-116,sedentary,
1712117280000,2024-04-03T04:08:00Z,288-1-1-116,sedentary,
1712117340000,2024-04-03T04:09:00Z,288-1-1-116,MPA,
1712117400000,2024-04-03T04:10:00Z,288-1-1-116,LPA,
1712117460000,2024-04-03T04:11:00Z,288-1-1-116,sedentary,
1712117520000,2024-04-03T04:12:00Z,288-1-1-116,sedentary,
1712117580000,2024-04-03T04:13:00Z,288-1-1-116,sedentary,
1712117640000,2024-04-03T04:14:00Z,288-1-1-116,sedentary,
1712117700000,2024-04-03T04:15:00Z,288-1-1-116,sedentary,
1712117760000,2024-04-03T04:16:00Z,288-1-1-116,sedentary,
1712117820000,2024-04-03T04:17:00Z,288-1-1-116,sedentary,
1712117880000,2024-04-03T04:18:00Z,288-1-1-116,sedentary,
1712117940000,2024-04-03T04:19:00Z,288-1-1-116,LPA,
1712118000000,2024-04-03T04:20:00Z,288-1-1-116,sedentary,
1712118060000,2024-04-03T04:21:00Z,288-1-1-116,MPA,
1712118120000,2024-04-03T04:22:00Z,288-1-1-116,sedentary,
1712118180000,2024-04-03T04:23:00Z,288-1-1-116,sedentary,
1712118240000,2024-04-03T04:24:00Z,288-1-1-116,sedentary,
1712118300000,2024-04-03T04:25:00Z,288-1-1-116,sedentary,
1712118360000,2024-04-03T04:26:00Z,288-1-1-116,sedentary,
1712118420000,2024-04-03T04:27:00Z,288-1-1-116,sedentary,
1712118480000,2024-04-03T04:28:00Z,288-1-1-116,sedentary,
1712118540000,2024-04-03T04:29:00Z,288-1-1-116,sedentary,
1712118600000,2024-04-03T04:30:00Z,288-1-1-116,sedentary,
1712118660000,2024-04-03T04:31:00Z,288-1-1-116,sedentary,
1712118720000,2024-04-03T04:32:00Z,288-1-1-116,sedentary,
1712118780000,2024-04-03T04:33:00Z,288-1-1-116,,device_not_recording
1712118840000,2024-04-03T04:34:00Z,288-1-1-116,sedentary,
1712118900000,2024-04-03T04:35:00Z,288-1-1-116,sedentary,
1712118960000,2024-04-03T04:36:00Z,288-1-1-116,sedentary,
1712119020000,2024-04-03T04:37:00Z,288-1-1-116,sedentary,
1712119080000,2024-04-03T04:38:00Z,288-1-1-116,sedentary,
1712119140000,2024-04-03T04:39:00Z,288-1-1-116,sedentary,
1712119200000,2024-04-03T04:40:00Z,288-1-1-116,sedentary,
1712119260000,2024-04-03T04:41:00Z,288-1-1-116,sedentary,
1712119320000,2024-04-03T04:42:00Z,288-1-1-116,sedentary,
1712119380000,2024-04-03T04:43:00Z,288-1-1-116,sedentary,
1712119440000,2024-04-03T04:44:00Z,288-1-1-116,sedentary,
1712119500000,2024-04-03T04:45:00Z,288-1-1-116,sedentary,
1712119560000,2024-04-03T04:46:00Z,288-1-1-116,sedentary,
1712119620000,2024-04-03T04:47:00Z,288-1-1-116,sedentary,
1712119680000,2024-04-03T04:48:00Z,288-1-1-116,sedentary,
1712119740000,2024-04-03T04:49:00Z,288-1-1-116,sedentary,
1712119800000,2024-04-03T04:50:00Z,288-1-1-116,sedentary,
1712119860000,2024-04-03T04:51:00Z,288-1-1-116,sedentary,
1712119920000,2024-04-03T04:52:00Z,288-1-1-116,sedentary,
1712119980000,2024-04-03T04:53:00Z,288-1-1-116,sedentary,
1712120040000,2024-04-03T04:54:00Z,288-1-1-116,sedentary,
1712120100000,2024-04-03T04:55:00Z,288-1-1-116,sedentary,
1712120160000,2024-04-03T04:56:00Z,288-1-1-116,LPA,
1712120220000,2024-04-03T04:57:00Z,288-1-1-116,sedentary,
1712120280000,2024-04-03T04:58:00Z,288-1-1-116,sedentary,
1712120340000,2024-04-03T04:59:00Z,288-1-1-116,sedentary,
1712120400000,2024-04-03T05:00:00Z,288-1-1-116,sedentary,
1712120460000,2024-04-03T05:01:00Z,288-1-1-116,sedentary,
1712120520000,2024-04-03T05:02:00Z,288-1-1-116,sedentary,
1712120580000,2024-04-03T05:03:00Z,288-1-1-116,sedentary,
1712120640000,2024-04-03T05:04:00Z,288-1-1-116,sedentary,
1712120700000,2024-04-03T05:05:00Z,288-1-1-116,sedentary,
1712120760000,2024-04-03T05:06:00Z,288-1-1-116,sedentary,
1712120820000,2024-04-03T05:07:00Z,288-1-1-116,sedentary,
1712120880000,2024-04-03T05:08:00Z,288-1-1-116,sedentary,
1712120940000,2024-04-03T05:09:00Z,288-1-1-116,sedentary,
1712121000000,2024-04-03T05:10:00Z,288-1-1-116,sedentary,
1712121060000,2024-04-03T05:11:00Z,288-1-1-116,LPA,
1712121120000,2024-04-03T05:12:00Z,288-1-1-116,sedentary,
1712121180000,2024-04-03T05:13:00Z,288-1-1-116,sedentary,
1712121240000,2024-04-03T05:14:00Z,288-1-1-116,sedentary,
1712121300000,2024-04-03T05:15:00Z,288-1-1-116,sedentary,
1712121360000,2024-04-03T05:16:00Z,288-1-1-116,sedentary,
1712121420000,2024-04-03T05:17:00Z,288-1-1-116,sedentary,
1712121480000,2024-04-03T05:18:00Z,288-1-1-116,sedentary,
1712121540000,2024-04-03T05:19:00Z,288-1-1-116,sedentary,
1712121600000,2024-04-03T05:20:00Z,288-1-1-116,sedentary,
1712121660000,2024-04-03T05:21:00Z,288-1-1-116,LPA,
1712121720000,2024-04-03T05:22:00Z,288-1-1-116,sedentary,
