timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1709949600000,2024-03-09T02:00:00Z,288-1-1-114,10.09,
1709949660000,2024-03-09T02:01:00Z,288-1-1-114,9.57,
1709949720000,2024-03-09T02:02:00Z,288-1-1-114,9.62,
1709949780000,2024-03-09T02:03:00Z,288-1-1-114,9.46,
1709949840000,2024-03-09T02:04:00Z,288-1-1-114,10.13,
1709949900000,2024-03-09T02:05:00Z,288-1-1-114,9.26,
1709949960000,2024-03-09T02:06:00Z,288-1-1-114,7.1,
1709950020000,2024-03-09T02:07:00Z,288-1-1-114,10.76,
1709950080000,2024-03-09T02:08:00Z,288-1-1-114,9.93,
1709950140000,2024-03-09T02:09:00Z,288-1-1-114,10.29,
1709950200000,2024-03-09T02:10:00Z,288-1-1-114,10.88,
1709950260000,2024-03-09T02:11:00Z,288-1-1-114,7.61,
1709950320000,2024-03-09T02:12:00Z,288-1-1-114,8.39,
1709950380000,2024-03-09T02:13:00Z,288-1-1-114,10.04,
1709950440000,2024-03-09T02:14:00Z,288-1-1-114,9.28,
1709950500000,2024-03-09T02:15:00Z,288-1-1-114,9.04,
1709950560000,2024-03-09T02:16:00Z,288-1-1-114,8.36,
1709950620000,2024-03-09T02:17:00Z,288-1-1-114,8.34,
1709950680000,2024-03-09T02:18:00Z,288-1-1-114,8.27,
1709950740000,2024-03-09T02:19:00Z,288-1-1-114,7.32,
1709950800000,2024-03-09T02:20:00Z,288-1-1-114,7.78,
1709950860000,2024-03-09T02:21:00Z,288-1-1-114,7.95,
1709950920000,2024-03-09T02:22:00Z,288-1-1-114,7.92,
1709950980000,2024-03-09T02:23:00Z,288-1-1-114,7.93,
1709951040000,2024-03-09T02:24:00Z,288-1-1-114,7.67,
1709951100000,2024-03-09T02:25:00Z,288-1-1-114,7.03,
1709951160000,2024-03-09T02:26:00Z,288-1-1-114,7.19,
1709951220000,2024-03-09T02:27:00Z,288-1-1-114,7.11,
1709951280000,2024-03-09T02:28:00Z,288-1-1-114,7.05,
1709951340000,2024-03-09T02:29:00Z,288-1-1-114,7.03,
1709951400000,2024-03-09T02:30:00Z,288-1-1-114,7.46,
1709951460000,2024-03-09T02:31:00Z,288-1-1-114,7.3,
1709951520000,2024-03-09T02:32:00Z,288-1-1-114,7.03,
1709951580000,2024-03-09T02:33:00Z,288-1-1-114,7.96,
1709951640000,2024-03-09T02:34:00Z,288-1-1-114,7.68,
1709951700000,2024-03-09T02:35:00Z,288-1-1-114,8.08,
1709951760000,2024-03-09T02:36:00Z,288-1-1-114,7.29,
1709951820000,2024-03-09T02:37:00Z,288-1-1-114,6.7,
1709951880000,2024-03-09T02:38:00Z,288-1-1-114,6.89,
1709951940000,2024-03-09T02:39:00Z,288-1-1-114,7.76,
1709952000000,2024-03-09T02:40:00Z,288-1-1-114,7.61,
1709952060000,2024-03-09T02:41:00Z,288-1-1-114,7.1,
1709952120000,2024-03-09T02:42:00Z,288-1-1-114,7.53,
1709952180000,2024-03-09T02:43:00Z,288-1-1-114,7.77,
1709952240000,2024-03-09T02:44:00Z,288-1-1-114,1.78,
1709952300000,2024-03-09T02:45:00Z,288-1-1-114,2.71,
1709952360000,2024-03-09T02:46:00Z,288-1-1-114,1.34,
1709952420000,2024-03-09T02:47:00Z,288-1-1-114,0.26,
