timestamp_unix,timestamp_iso,participant_full_id,body_position_left,body_position_right,missing_value_reason
1712638680000,2024-04-09T04:58:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638740000,2024-04-09T04:59:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638800000,2024-04-09T05:00:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638860000,2024-04-09T05:01:00Z,288-1-1-116,,,device_not_recording
1712638920000,2024-04-09T05:02:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638980000,2024-04-09T05:03:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639040000,2024-04-09T05:04:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639100000,2024-04-09T05:05:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639160000,2024-04-09T05:06:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639220000,2024-04-09T05:07:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639280000,2024-04-09T05:08:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639340000,2024-04-09T05:09:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639400000,2024-04-09T05:10:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639460000,2024-04-09T05:11:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639520000,2024-04-09T05:12:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639580000,2024-04-09T05:13:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639640000,2024-04-09T05:14:00Z,288-1-1-116,,,device_not_recording
1712639700000,2024-04-09T05:15:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639760000,2024-04-09T05:16:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639820000,2024-04-09T05:17:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639880000,2024-04-09T05:18:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712639940000,2024-04-09T05:19:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640000000,2024-04-09T05:20:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640060000,2024-04-09T05:21:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640120000,2024-04-09T05:22:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640180000,2024-04-09T05:23:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640240000,2024-04-09T05:24:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640300000,2024-04-09T05:25:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640360000,2024-04-09T05:26:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640420000,2024-04-09T05:27:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640480000,2024-04-09T05:28:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640540000,2024-04-09T05:29:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640600000,2024-04-09T05:30:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640660000,2024-04-09T05:31:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640720000,2024-04-09T05:32:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640780000,2024-04-09T05:33:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640840000,2024-04-09T05:34:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640900000,2024-04-09T05:35:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712640960000,2024-04-09T05:36:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641020000,2024-04-09T05:37:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641080000,2024-04-09T05:38:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641140000,2024-04-09T05:39:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641200000,2024-04-09T05:40:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641260000,2024-04-09T05:41:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641320000,2024-04-09T05:42:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641380000,2024-04-09T05:43:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641440000,2024-04-09T05:44:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641500000,2024-04-09T05:45:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641560000,2024-04-09T05:46:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641620000,2024-04-09T05:47:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712641680000,2024-04-09T05:48:00Z,288-1-1-116,standing,standing,
1712641740000,2024-04-09T05:49:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712641800000,2024-04-09T05:50:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712641860000,2024-04-09T05:51:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712641920000,2024-04-09T05:52:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712641980000,2024-04-09T05:53:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642040000,2024-04-09T05:54:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642100000,2024-04-09T05:55:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642160000,2024-04-09T05:56:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642220000,2024-04-09T05:57:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642280000,2024-04-09T05:58:00Z,288-1-1-116,,,device_not_recording
1712642340000,2024-04-09T05:59:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642400000,2024-04-09T06:00:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712642460000,2024-04-09T06:01:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
