timestamp_unix,timestamp_iso,participant_full_id,prv_rmssd_ms,missing_value_reason
1710319740000,2024-03-13T08:49:00Z,288-1-1-114,25.716764,
1710319800000,2024-03-13T08:50:00Z,288-1-1-114,31.05838,
1710319860000,2024-03-13T08:51:00Z,288-1-1-114,30.117804,
1710319920000,2024-03-13T08:52:00Z,288-1-1-114,22.583529,
1710319980000,2024-03-13T08:53:00Z,288-1-1-114,24.298021,
1710320040000,2024-03-13T08:54:00Z,288-1-1-114,21.431866,
1710320100000,2024-03-13T08:55:00Z,288-1-1-114,21.342505,
1710320160000,2024-03-13T08:56:00Z,288-1-1-114,22.467432,
1710320220000,2024-03-13T08:57:00Z,288-1-1-114,26.98641,
1710320280000,2024-03-13T08:58:00Z,288-1-1-114,24.340012,
1710320340000,2024-03-13T08:59:00Z,288-1-1-114,23.937925,
1710320400000,2024-03-13T09:00:00Z,288-1-1-114,22.204216,
1710320460000,2024-03-13T09:01:00Z,288-1-1-114,22.414673,
1710320520000,2024-03-13T09:02:00Z,288-1-1-114,19.489326,
1710320580000,2024-03-13T09:03:00Z,288-1-1-114,23.080904,
1710320640000,2024-03-13T09:04:00Z,288-1-1-114,22.847223,
1710320700000,2024-03-13T09:05:00Z,288-1-1-114,24.266054,
1710320760000,2024-03-13T09:06:00Z,288-1-1-114,23.066584,
1710320820000,2024-03-13T09:07:00Z,288-1-1-114,20.777266,
1710320880000,2024-03-13T09:08:00Z,288-1-1-114,25.463722,
1710320940000,2024-03-13T09:09:00Z,288-1-1-114,21.564402,
1710321000000,2024-03-13T09:10:00Z,288-1-1-114,27.975466,
1710321060000,2024-03-13T09:11:00Z,288-1-1-114,21.833193,
1710321120000,2024-03-13T09:12:00Z,288-1-1-114,25.67788,
1710321180000,2024-03-13T09:13:00Z,288-1-1-114,21.082159,
1710321240000,2024-03-13T09:14:00Z,288-1-1-114,22.777826,
1710321300000,2024-03-13T09:15:00Z,288-1-1-114,26.21901,
1710321360000,2024-03-13T09:16:00Z,288-1-1-114,29.145304,
1710321420000,2024-03-13T09:17:00Z,288-1-1-114,24.798826,
1710321480000,2024-03-13T09:18:00Z,288-1-1-114,23.018875,
1710321540000,2024-03-13T09:19:00Z,288-1-1-114,23.338682,
1710321600000,2024-03-13T09:20:00Z,288-1-1-114,22.66041,
1710321660000,2024-03-13T09:21:00Z,288-1-1-114,31.798668,
1710321720000,2024-03-13T09:22:00Z,288-1-1-114,23.498648,
1710321780000,2024-03-13T09:23:00Z,288-1-1-114,26.55496,
1710321840000,2024-03-13T09:24:00Z,288-1-1-114,25.649796,
1710321900000,2024-03-13T09:25:00Z,288-1-1-114,25.492378,
1710321960000,2024-03-13T09:26:00Z,288-1-1-114,27.068798,
1710322020000,2024-03-13T09:27:00Z,288-1-1-114,,worn_during_motion
1710322080000,2024-03-13T09:28:00Z,288-1-1-114,,worn_during_motion
1710322140000,2024-03-13T09:29:00Z,288-1-1-114,,worn_during_motion
1710322200000,2024-03-13T09:30:00Z,288-1-1-114,,worn_with_low_signal_quality
1710322260000,2024-03-13T09:31:00Z,288-1-1-114,72.73512,
1710322320000,2024-03-13T09:32:00Z,288-1-1-114,,worn_during_motion
1710322380000,2024-03-13T09:33:00Z,288-1-1-114,142.8326,
1710322440000,2024-03-13T09:34:00Z,288-1-1-114,69.17813,
1710322500000,2024-03-13T09:35:00Z,288-1-1-114,74.19818,
1710322560000,2024-03-13T09:36:00Z,288-1-1-114,66.60769,
1710322620000,2024-03-13T09:37:00Z,288-1-1-114,,worn_during_motion
1710322680000,2024-03-13T09:38:00Z,288-1-1-114,71.94835,
1710322740000,2024-03-13T09:39:00Z,288-1-1-114,75.40473,
1710322800000,2024-03-13T09:40:00Z,288-1-1-114,99.24537,
1710322860000,2024-03-13T09:41:00Z,288-1-1-114,73.79831,
1710322920000,2024-03-13T09:42:00Z,288-1-1-114,,worn_during_motion
1710322980000,2024-03-13T09:43:00Z,288-1-1-114,49.81361,
1710323040000,2024-03-13T09:44:00Z,288-1-1-114,,worn_during_motion
1710323100000,2024-03-13T09:45:00Z,288-1-1-114,61.646893,
1710323160000,2024-03-13T09:46:00Z,288-1-1-114,,worn_during_motion
1710323220000,2024-03-13T09:47:00Z,288-1-1-114,,worn_during_motion
1710323280000,2024-03-13T09:48:00Z,288-1-1-114,46.621883,
1710323340000,2024-03-13T09:49:00Z,288-1-1-114,,worn_during_motion
1710323400000,2024-03-13T09:50:00Z,288-1-1-114,,worn_with_low_signal_quality
1710323460000,2024-03-13T09:51:00Z,288-1-1-114,52.574364,
1710323520000,2024-03-13T09:52:00Z,288-1-1-114,40.386826,
1710323580000,2024-03-13T09:53:00Z,288-1-1-114,32.41036,
1710323640000,2024-03-13T09:54:00Z,288-1-1-114,,worn_during_motion
1710323700000,2024-03-13T09:55:00Z,288-1-1-114,46.497646,
1710323760000,2024-03-13T09:56:00Z,288-1-1-114,34.041077,
1710323820000,2024-03-13T09:57:00Z,288-1-1-114,59.056656,
1710323880000,2024-03-13T09:58:00Z,288-1-1-114,,worn_during_motion
1710323940000,2024-03-13T09:59:00Z,288-1-1-114,35.21635,
1710324000000,2024-03-13T10:00:00Z,288-1-1-114,46.423405,
1710324060000,2024-03-13T10:01:00Z,288-1-1-114,,worn_during_motion
1710324120000,2024-03-13T10:02:00Z,288-1-1-114,63.520477,
1710324180000,2024-03-13T10:03:00Z,288-1-1-114,,worn_during_motion
1710324240000,2024-03-13T10:04:00Z,288-1-1-114,41.382393,
1710324300000,2024-03-13T10:05:00Z,288-1-1-114,44.963005,
1710324360000,2024-03-13T10:06:00Z,288-1-1-114,38.903267,
1710324420000,2024-03-13T10:07:00Z,288-1-1-114,39.404404,
1710324480000,2024-03-13T10:08:00Z,288-1-1-114,44.925865,
1710324540000,2024-03-13T10:09:00Z,288-1-1-114,57.086864,
1710324600000,2024-03-13T10:10:00Z,288-1-1-114,41.456486,
1710324660000,2024-03-13T10:11:00Z,288-1-1-114,41.67802,
1710324720000,2024-03-13T10:12:00Z,288-1-1-114,48.826546,
1710324780000,2024-03-13T10:13:00Z,288-1-1-114,54.952892,
1710324840000,2024-03-13T10:14:00Z,288-1-1-114,45.570847,
1710324900000,2024-03-13T10:15:00Z,288-1-1-114,,worn_during_motion
1710324960000,2024-03-13T10:16:00Z,288-1-1-114,37.81321,
1710325020000,2024-03-13T10:17:00Z,288-1-1-114,43.052296,
1710325080000,2024-03-13T10:18:00Z,288-1-1-114,45.635956,
1710325140000,2024-03-13T10:19:00Z,288-1-1-114,33.234375,
1710325200000,2024-03-13T10:20:00Z,288-1-1-114,,worn_during_motion
1710325260000,2024-03-13T10:21:00Z,288-1-1-114,,worn_during_motion
1710325320000,2024-03-13T10:22:00Z,288-1-1-114,74.88037,
1710325380000,2024-03-13T10:23:00Z,288-1-1-114,84.825935,
1710325440000,2024-03-13T10:24:00Z,288-1-1-114,,worn_during_motion
1710325500000,2024-03-13T10:25:00Z,288-1-1-114,,worn_during_motion
1710325560000,2024-03-13T10:26:00Z,288-1-1-114,,worn_during_motion
1710325620000,2024-03-13T10:27:00Z,288-1-1-114,,worn_during_motion
1710325680000,2024-03-13T10:28:00Z,288-1-1-114,,worn_during_motion
1710325740000,2024-03-13T10:29:00Z,288-1-1-114,,worn_during_motion
1710325800000,2024-03-13T10:30:00Z,288-1-1-114,,worn_during_motion
1710325860000,2024-03-13T10:31:00Z,288-1-1-114,38.088207,
1710325920000,2024-03-13T10:32:00Z,288-1-1-114,,worn_during_motion
1710325980000,2024-03-13T10:33:00Z,288-1-1-114,37.993874,
1710326040000,2024-03-13T10:34:00Z,288-1-1-114,72.67278,
1710326100000,2024-03-13T10:35:00Z,288-1-1-114,44.44778,
1710326160000,2024-03-13T10:36:00Z,288-1-1-114,34.869953,
1710326220000,2024-03-13T10:37:00Z,288-1-1-114,40.819637,
1710326280000,2024-03-13T10:38:00Z,288-1-1-114,39.90319,
1710326340000,2024-03-13T10:39:00Z,288-1-1-114,33.71477,
1710326400000,2024-03-13T10:40:00Z,288-1-1-114,37.76346,
1710326460000,2024-03-13T10:41:00Z,288-1-1-114,,worn_during_motion
1710326520000,2024-03-13T10:42:00Z,288-1-1-114,,worn_during_motion
1710326580000,2024-03-13T10:43:00Z,288-1-1-114,55.418865,
1710326640000,2024-03-13T10:44:00Z,288-1-1-114,53.918545,
1710326700000,2024-03-13T10:45:00Z,288-1-1-114,52.960297,
1710326760000,2024-03-13T10:46:00Z,288-1-1-114,47.46003,
1710326820000,2024-03-13T10:47:00Z,288-1-1-114,46.74066,
1710326880000,2024-03-13T10:48:00Z,288-1-1-114,41.754642,
1710326940000,2024-03-13T10:49:00Z,288-1-1-114,44.124897,
1710327000000,2024-03-13T10:50:00Z,288-1-1-114,45.07805,
1710327060000,2024-03-13T10:51:00Z,288-1-1-114,40.132298,
1710327120000,2024-03-13T10:52:00Z,288-1-1-114,37.304077,
1710327180000,2024-03-13T10:53:00Z,288-1-1-114,40.21329,
1710327240000,2024-03-13T10:54:00Z,288-1-1-114,37.498085,
1710327300000,2024-03-13T10:55:00Z,288-1-1-114,37.204796,
1710327360000,2024-03-13T10:56:00Z,288-1-1-114,,worn_during_motion
1710327420000,2024-03-13T10:57:00Z,288-1-1-114,,worn_during_motion
1710327480000,2024-03-13T10:58:00Z,288-1-1-114,,worn_during_motion
1710327540000,2024-03-13T10:59:00Z,288-1-1-114,,worn_during_motion
1710327600000,2024-03-13T11:00:00Z,288-1-1-114,,worn_during_motion
1710327660000,2024-03-13T11:01:00Z,288-1-1-114,,worn_during_motion
1710327720000,2024-03-13T11:02:00Z,288-1-1-114,,worn_during_motion
1710327780000,2024-03-13T11:03:00Z,288-1-1-114,,worn_during_motion
1710327840000,2024-03-13T11:04:00Z,288-1-1-114,,worn_during_motion
1710327900000,2024-03-13T11:05:00Z,288-1-1-114,,worn_during_motion
1710327960000,2024-03-13T11:06:00Z,288-1-1-114,,worn_during_motion
1710328020000,2024-03-13T11:07:00Z,288-1-1-114,,worn_during_motion
1710328080000,2024-03-13T11:08:00Z,288-1-1-114,,worn_during_motion
1710328140000,2024-03-13T11:09:00Z,288-1-1-114,,worn_during_motion
1710328200000,2024-03-13T11:10:00Z,288-1-1-114,,worn_during_motion
1710328260000,2024-03-13T11:11:00Z,288-1-1-114,,worn_during_motion
1710328320000,2024-03-13T11:12:00Z,288-1-1-114,,worn_during_motion
1710328380000,2024-03-13T11:13:00Z,288-1-1-114,,worn_during_motion
1710328440000,2024-03-13T11:14:00Z,288-1-1-114,,worn_during_motion
1710328500000,2024-03-13T11:15:00Z,288-1-1-114,,worn_during_motion
1710328560000,2024-03-13T11:16:00Z,288-1-1-114,,worn_during_motion
1710328620000,2024-03-13T11:17:00Z,288-1-1-114,,worn_during_motion
1710328680000,2024-03-13T11:18:00Z,288-1-1-114,,worn_during_motion
1710328740000,2024-03-13T11:19:00Z,288-1-1-114,,worn_during_motion
1710328800000,2024-03-13T11:20:00Z,288-1-1-114,,worn_during_motion
1710328860000,2024-03-13T11:21:00Z,288-1-1-114,,worn_during_motion
1710328920000,2024-03-13T11:22:00Z,288-1-1-114,,worn_during_motion
1710328980000,2024-03-13T11:23:00Z,288-1-1-114,,worn_during_motion
1710329040000,2024-03-13T11:24:00Z,288-1-1-114,,worn_during_motion
1710329100000,2024-03-13T11:25:00Z,288-1-1-114,,worn_during_motion
1710329160000,2024-03-13T11:26:00Z,288-1-1-114,,worn_during_motion
1710329220000,2024-03-13T11:27:00Z,288-1-1-114,,worn_during_motion
1710329280000,2024-03-13T11:28:00Z,288-1-1-114,,worn_during_motion
1710329340000,2024-03-13T11:29:00Z,288-1-1-114,,worn_during_motion
1710329400000,2024-03-13T11:30:00Z,288-1-1-114,,worn_during_motion
1710329460000,2024-03-13T11:31:00Z,288-1-1-114,,worn_during_motion
1710329520000,2024-03-13T11:32:00Z,288-1-1-114,,worn_during_motion
1710329580000,2024-03-13T11:33:00Z,288-1-1-114,,worn_during_motion
1710329640000,2024-03-13T11:34:00Z,288-1-1-114,,worn_during_motion
1710329700000,2024-03-13T11:35:00Z,288-1-1-114,,worn_during_motion
1710329760000,2024-03-13T11:36:00Z,288-1-1-114,,worn_during_motion
1710329820000,2024-03-13T11:37:00Z,288-1-1-114,,worn_during_motion
1710329880000,2024-03-13T11:38:00Z,288-1-1-114,,worn_during_motion
1710329940000,2024-03-13T11:39:00Z,288-1-1-114,,worn_during_motion
1710330000000,2024-03-13T11:40:00Z,288-1-1-114,,worn_with_low_signal_quality
1710330060000,2024-03-13T11:41:00Z,288-1-1-114,,worn_during_motion
1710330120000,2024-03-13T11:42:00Z,288-1-1-114,,worn_with_low_signal_quality
1710330180000,2024-03-13T11:43:00Z,288-1-1-114,,worn_during_motion
1710330240000,2024-03-13T11:44:00Z,288-1-1-114,,worn_during_motion
1710330300000,2024-03-13T11:45:00Z,288-1-1-114,,worn_during_motion
1710330360000,2024-03-13T11:46:00Z,288-1-1-114,,worn_during_motion
1710330420000,2024-03-13T11:47:00Z,288-1-1-114,,worn_during_motion
1710330480000,2024-03-13T11:48:00Z,288-1-1-114,,worn_during_motion
1710330540000,2024-03-13T11:49:00Z,288-1-1-114,,worn_during_motion
1710330600000,2024-03-13T11:50:00Z,288-1-1-114,,worn_during_motion
1710330660000,2024-03-13T11:51:00Z,288-1-1-114,,worn_during_motion
1710330720000,2024-03-13T11:52:00Z,288-1-1-114,,worn_during_motion
1710330780000,2024-03-13T11:53:00Z,288-1-1-114,,worn_during_motion
1710330840000,2024-03-13T11:54:00Z,288-1-1-114,,worn_during_motion
1710330900000,2024-03-13T11:55:00Z,288-1-1-114,,worn_during_motion
1710330960000,2024-03-13T11:56:00Z,288-1-1-114,,worn_during_motion
1710331020000,2024-03-13T11:57:00Z,288-1-1-114,,worn_during_motion
1710331080000,2024-03-13T11:58:00Z,288-1-1-114,,worn_during_motion
